	Jnum	JTN	Eexp	ExExp	CKE	CKEx	EMAP	ExMAP	LA	LAsigma	LA(1)	LA(1)sigma	LAex	LAexsigma	LA(1)ex	LA(1)exsigma	infit
${}^{6}$Li	1	($1^+0,1$)	-31.994	0.0	-32.86	0.0	-32.497	0.0	-32.654	0.574	-32.74	0.607	0.0	NaN	0.0	NaN	False
${}^{6}$Li	3	($3^+0,1$)	-29.804	2.19	-30.724	2.136	-28.256	4.241	-28.29	0.705	-28.212	0.679	4.365	1.142	4.528	1.141	False
${}^{6}$Li	0	($0^+1,1$)	-28.424	3.57	-30.353	2.507	-29.181	3.316	-29.372	0.766	-29.328	0.644	3.282	0.7	3.413	0.693	False
${}^{7}$Li	3	($\frac{3}{2}^-\frac{1}{2},1$)	-39.245	0.0	-40.982	0.0	-40.401	0.0	-40.503	0.252	-40.474	0.238	0.0	NaN	0.0	NaN	False
${}^{7}$Li	7	($\frac{7}{2}^-\frac{1}{2},1$)	-34.605	4.64	-36.196	4.786	-33.922	6.479	-33.961	0.405	-33.943	0.366	6.541	0.442	6.531	0.391	False
${}^{7}$Li	5	($\frac{5}{2}^-\frac{1}{2},1$)	-32.555	6.69	-33.577	7.405	-33.343	7.058	-33.504	0.718	-33.571	0.656	6.999	0.713	6.903	0.69	False
${}^{8}$Li	2	($2^+1,1$)	-41.278	0.0	-41.798	0.0	-41.597	0.0	-41.643	0.308	-41.66	0.284	0.0	NaN	0.0	NaN	False
${}^{8}$Li	1	($1^+1,1$)	-40.297	0.981	-40.718	1.08	-40.389	1.208	-40.569	0.331	-40.576	0.299	1.075	0.394	1.084	0.352	False
${}^{8}$Li	3	($3^+1,1$)	-39.023	2.255	-40.107	1.691	-39.452	2.145	-39.489	0.331	-39.51	0.32	2.155	0.254	2.15	0.285	False
${}^{8}$Li	1	($1^+1,2$)	-38.068	3.21	-39.034	2.764	-36.962	4.635	-37.662	0.689	-37.708	0.697	3.982	0.809	3.952	0.803	False
${}^{8}$Li	1	($1^+1,3$)	-35.878	5.4	-36.84	4.958	-36.687	4.91	-36.184	0.622	-36.145	0.581	5.46	0.774	5.515	0.691	False
${}^{8}$Li	4	($4^+1,1$)	-34.748	6.53	-35.59	6.208	-34.622	6.975	-34.63	0.41	-34.655	0.444	7.014	0.404	7.005	0.453	False
${}^{9}$Li	3	($\frac{3}{2}^-\frac{3}{2},1$)	-45.34	0.0	-46.119	0.0	-45.615	0.0	-45.704	0.36	-45.736	0.356	0.0	NaN	0.0	NaN	False
${}^{9}$Li	1	($\frac{1}{2}^-\frac{3}{2},1$)	-42.649	2.691	-42.776	3.343	-42.739	2.876	-42.886	0.665	-42.92	0.692	2.818	0.629	2.816	0.646	False
${}^{11}$Li	3	($\frac{3}{2}^-\frac{5}{2},1$)	-45.709	0.0	-44.397	0.0	-46.3	0.0	-46.264	0.724	-46.319	0.736	0.0	NaN	0.0	NaN	False
${}^{8}$Be	0	($0^+0,1$)	-56.499	0.0	-55.961	0.0	-56.72	0.0	-56.854	0.285	-56.82	0.277	0.0	NaN	0.0	NaN	True
${}^{8}$Be	2	($2^+0,1$)	-53.469	3.03	-52.552	3.409	-52.827	3.893	-52.901	0.221	-52.887	0.239	3.952	0.206	3.934	0.196	True
${}^{8}$Be	2	($2^+1,1$)	-39.873	16.626	-40.162	15.799	-39.961	16.759	-40.007	0.308	-40.024	0.284	16.846	0.414	16.796	0.401	True
${}^{8}$Be	4	($4^+0,1$)	-45.149	11.35	-45.448	11.282	-44.536	12.953	-44.585	0.533	-44.598	0.558	13.038	0.634	12.991	0.623	False
${}^{8}$Be	1	($1^+1,1$)	-38.859	17.64	-39.082	16.879	-38.753	17.967	-38.933	0.331	-38.94	0.299	17.921	0.331	17.88	0.333	True
${}^{9}$Be	3	($\frac{3}{2}^-\frac{1}{2},1$)	-58.164	0.0	-57.757	0.0	-57.657	0.0	-57.759	0.185	-57.736	0.18	0.0	NaN	0.0	NaN	True
${}^{9}$Be	5	($\frac{5}{2}^-\frac{1}{2},1$)	-55.735	2.429	-55.113	2.644	-54.911	2.746	-54.998	0.191	-54.989	0.205	2.761	0.228	2.746	0.236	True
${}^{9}$Be	7	($\frac{7}{2}^-\frac{1}{2},1$)	-51.774	6.39	-51.567	6.19	-50.874	6.783	-50.964	0.297	-50.964	0.274	6.795	0.319	6.771	0.309	False
${}^{10}$Be	0	($0^+1,1$)	-64.976	0.0	-65.134	0.0	-65.0	0.0	-65.154	0.294	-65.124	0.28	0.0	NaN	0.0	NaN	False
${}^{10}$Be	2	($2^+1,1$)	-61.608	3.368	-61.432	3.702	-61.148	3.852	-61.239	0.219	-61.248	0.203	3.915	0.253	3.876	0.257	False
${}^{10}$Be	2	($2^+1,2$)	-59.018	5.958	-59.706	5.428	-59.262	5.738	-59.353	0.277	-59.344	0.263	5.801	0.31	5.78	0.323	False
${}^{10}$Be	0	($0^+1,2$)	-58.797	6.179	-52.787	12.347	-55.15	9.85	-55.411	1.045	-55.495	0.97	9.744	1.093	9.629	1.021	False
${}^{10}$Be	2	($2^+1,3$)	-57.434	7.542	-55.893	9.241	-56.582	8.418	-56.766	0.428	-56.773	0.381	8.388	0.448	8.351	0.411	False
${}^{10}$Be	2	($2^+1,4$)	-55.416	9.56	-54.78	10.354	-54.926	10.074	-54.936	0.407	-54.911	0.391	10.218	0.445	10.213	0.423	False
