	Jnum	JTN	Eexp	ExExp	CKE	CKEx	EMAP	ExMAP	LA	LAsigma	LA(1)	LA(1)sigma	LAex	LAexsigma	LA(1)ex	LA(1)exsigma	infit
${}^{5}$He	3	($\frac{3}{2}^-\frac{1}{2},1$)	-28.296	0.0	-27.401	0.0	-25.144	0.0	-25.143	0.356	-25.144	0.34	0.0	0.0	0.0	0.0	False
${}^{6}$He	0	($0^+1,1$)	-29.271	0.0	-31.345	0.0	-30.173	0.0	-30.366	0.766	-30.331	0.674	0.0	0.0	0.0	0.0	False
${}^{6}$He	2	($2^+1,1$)	-27.474	1.797	-27.822	3.523	-25.229	4.944	-25.287	0.372	-25.27	0.355	5.08	0.661	5.061	0.592	False
${}^{7}$He	3	($\frac{3}{2}^-\frac{3}{2},1$)	-28.861	0.0	-28.844	0.0	-26.835	0.0	-26.972	0.459	-26.941	0.446	0.0	0.0	0.0	0.0	False
${}^{8}$He	0	($0^+2,1$)	-31.396	0.0	-31.682	0.0	-30.218	0.0	-30.304	0.593	-30.302	0.601	0.0	0.0	0.0	0.0	False
${}^{8}$He	2	($2^+2,1$)	-28.296	3.1	-27.086	4.596	-25.232	4.986	-25.276	0.603	-25.268	0.617	5.028	0.436	5.033	0.438	False
${}^{9}$He	1	($\frac{1}{2}^-\frac{5}{2},1$)	-29.041	0.0	-27.056	0.0	-26.408	0.0	-26.401	1.036	-26.403	1.065	0.0	0.0	0.0	0.0	False
${}^{10}$He	0	($0^+3,1$)	-29.951	0.0	-26.006	0.0	-27.779	0.0	-27.772	1.213	-27.771	1.252	0.0	0.0	0.0	0.0	False
${}^{6}$Li	1	($1^+0,1$)	-31.994	0.0	-32.86	0.0	-32.497	0.0	-32.656	0.589	-32.685	0.622	0.0	0.0	0.0	0.0	False
${}^{6}$Li	3	($3^+0,1$)	-29.804	2.19	-30.724	2.136	-28.256	4.241	-28.254	0.708	-28.256	0.693	4.402	1.151	4.429	1.155	False
${}^{6}$Li	0	($0^+1,1$)	-28.424	3.57	-30.353	2.507	-29.181	3.316	-29.374	0.766	-29.339	0.68	3.282	0.674	3.346	0.697	False
${}^{7}$Li	3	($\frac{3}{2}^-\frac{1}{2},1$)	-39.245	0.0	-40.982	0.0	-40.401	0.0	-40.5	0.259	-40.495	0.245	0.0	0.0	0.0	0.0	False
${}^{7}$Li	7	($\frac{7}{2}^-\frac{1}{2},1$)	-34.605	4.64	-36.196	4.786	-33.922	6.479	-33.945	0.396	-33.941	0.387	6.555	0.44	6.553	0.413	False
${}^{7}$Li	5	($\frac{5}{2}^-\frac{1}{2},1$)	-32.555	6.69	-33.577	7.405	-33.343	7.058	-33.516	0.712	-33.528	0.655	6.985	0.717	6.966	0.683	False
${}^{8}$Li	2	($2^+1,1$)	-41.278	0.0	-41.798	0.0	-41.597	0.0	-41.664	0.3	-41.662	0.296	0.0	0.0	0.0	0.0	False
${}^{8}$Li	1	($1^+1,1$)	-40.297	0.981	-40.718	1.08	-40.389	1.208	-40.583	0.336	-40.577	0.313	1.081	0.391	1.085	0.37	False
${}^{8}$Li	3	($3^+1,1$)	-39.023	2.255	-40.107	1.691	-39.452	2.145	-39.502	0.324	-39.5	0.321	2.162	0.268	2.162	0.286	False
${}^{8}$Li	1	($1^+1,2$)	-38.068	3.21	-39.034	2.764	-36.962	4.635	-37.665	0.685	-37.708	0.693	3.998	0.815	3.954	0.812	False
${}^{8}$Li	1	($1^+1,3$)	-35.878	5.4	-36.84	4.958	-36.687	4.91	-36.153	0.617	-36.139	0.611	5.511	0.754	5.523	0.746	False
${}^{8}$Li	4	($4^+1,1$)	-34.748	6.53	-35.59	6.208	-34.622	6.975	-34.645	0.449	-34.644	0.43	7.018	0.46	7.018	0.451	False
